vin,start_date,end_date,repair_status,repair_description,vendor_name,repair_cost,NHTSA_recall_compaign_number,inventory_clerk_permission
7FT34LPXEKD855738,2019-02-27 00:00:00,2019-03-02 00:00:00,completed,adjust retractable mirrors; add knee airbags; ,Rundofase,55.79,09V357000,
7FT34LPXEKD855738,2019-03-04 00:00:00,2019-03-05 00:00:00,pending,replace timing belt tensioner; fix external temperature display; ,Zumgoity,27.89,NULL,
7FT34LPXEKD855738,2019-03-14 00:00:00,2019-03-15 00:00:00,in progress,set up satellite radio; replace ace filter; ,Zoomit,27.89,18V525000,
7FT34LPXEKD855738,2019-03-17 00:00:00,2019-03-20 00:00:00,completed,remove oversteer; install on-board diagnosis system; ,Newex,55.79,NULL,
7FT34LPXEKD855738,2019-03-28 00:00:00,2019-03-31 00:00:00,completed,adjust accelerator pedal linkage; repair cooled seats; ,Zumgoity,27.89,NULL,
7FT34LPXEKD855738,2019-04-06 00:00:00,2019-04-06 00:00:00,pending,install vanity mirrors; fix external temperature display; ,Zumgoity,27.89,NULL,
7T0CI3XEYJA004139,2019-06-13 00:00:00,2019-06-13 00:00:00,in progress,fix a-pillar; ,Newex,52.08,NULL,
7T0CI3XEYJA004139,2019-06-14 00:00:00,2019-06-14 00:00:00,pending,install roof spoiler; attach seat extension; ,Zoomit,52.08,NULL,
7T0CI3XEYJA004139,2019-06-15 00:00:00,2019-06-15 00:00:00,completed,adjust seat belts tension; adjust turn signals; ,Newex,52.08,18V231000,
7T0CI3XEYJA004139,2019-06-16 00:00:00,2019-06-16 00:00:00,pending,change steering rack; adjust ignition timing; ,Zoomit,52.08,NULL,
7T0CI3XEYJA004139,2019-06-17 00:00:00,2019-06-19 00:00:00,pending,change memory settings of the onboard computer; ,Toughzap,52.08,13V175000,
7T0CI3XEYJA004139,2019-06-20 00:00:00,2019-06-21 00:00:00,in progress,attach exterior camera; ,Zencorporation,104.15,NULL,
7T0CI3XEYJA004139,2019-06-22 00:00:00,2019-06-22 00:00:00,pending,adjust adaptive cruise control; improve engine performance; ,Zoomit,52.08,16V907000,
7T0CI3XEYJA004139,2019-06-23 00:00:00,2019-06-23 00:00:00,in progress,adjust adaptive cruise control; change timing belt; ,Rundofase,52.08,13V289000,
7W7UDF3KP41966929,2019-04-15 00:00:00,2019-05-01 00:00:00,completed,set up auto-delay headlights; ,Rundofase,87.25,NULL,
7W7UDF3KP41966929,2019-05-17 00:00:00,2019-07-28 00:00:00,in progress,install roof spoiler; adjust accelerator pedal linkage; ,Zoomit,1047.03,NULL,
7Y1EAHONCCS732936,2019-01-19 00:00:00,2019-02-11 00:00:00,pending,replace radiator hoses; replace radiator core & ac condenser; ,Zencorporation,1073,09E012000,
7Y1EAHONCCS732936,2019-02-25 00:00:00,2019-03-29 00:00:00,in progress,replace liftgate window; refurbish power steering; ,Cancity,1430.67,NULL,
7Y1EAHONCCS732936,2019-04-22 00:00:00,2019-05-20 00:00:00,in progress,adjust hybrid performance; configure universal remote control; ,Fasehatice,625.92,NULL,
7Y1EAHONCCS732936,2019-06-28 00:00:00,2019-07-11 00:00:00,pending,adjust seat belts tension; repair seatbelt force limiters; ,Zencorporation,715.34,NULL,
7Y1EAHONCCS732936,2019-08-09 00:00:00,2019-08-22 00:00:00,pending,replace radiator core & ac condenser; fix power activated release; ,Rundofase,357.67,NULL,
7Y1EAHONCCS732936,2019-08-27 00:00:00,2019-09-08 00:00:00,pending,replace radiator core & ac condenser; change oil filter; ,Toughzap,89.42,NULL,
7Y1EAHONCCS732936,2019-09-11 00:00:00,2019-09-15 00:00:00,pending,fix rear hvac; reduce fuel consumption; ,Zoomit,357.67,NULL,
7YCPTKZS5B3163969,2019-04-29 00:00:00,2019-05-01 00:00:00,completed,install parking sensors; adjust traction control system; ,Zoomit,33.11,NULL,
7YCPTKZS5B3163969,2019-05-04 00:00:00,2019-05-12 00:00:00,in progress,change air conditioner refrigerant; ,Rundofase,264.84,18V170000,
7YCPTKZS5B3163969,2019-05-13 00:00:00,2019-05-15 00:00:00,completed,replace stabilizer bar; ,Toughzap,99.32,NULL,
7YCPTKZS5B3163969,2019-05-21 00:00:00,2019-05-22 00:00:00,pending,repair direct injection system; replace ace filter; ,Newex,33.11,NULL,
7YCPTKZS5B3163969,2019-05-27 00:00:00,2019-05-28 00:00:00,pending,replace steering column lock; install curtain airbags; ,Zoomit,66.21,NULL,
8BPZY476GS8852305,2019-04-04 00:00:00,2019-04-08 00:00:00,completed,repair shiftable automatic transmission; fix a-pillar; ,Cancity,56.38,NULL,
8BPZY476GS8852305,2019-04-20 00:00:00,2019-05-05 00:00:00,pending,refurbish power steering; fix rear hvac; ,Fasehatice,789.27,NULL,
8BPZY476GS8852305,2019-05-09 00:00:00,2019-05-17 00:00:00,in progress,adjust turn signals; install curtain airbags; ,Zoomit,281.88,NULL,
8BPZY476GS8852305,2019-05-24 00:00:00,2019-05-24 00:00:00,in progress,fix cylinder head bolts; replace tail lights; ,Toughzap,56.38,NULL,
8BPZY476GS8852305,2019-05-26 00:00:00,2019-06-01 00:00:00,completed,replace ace filter; fix steering damper; ,Rundofase,281.88,NULL,
8BPZY476GS8852305,2019-06-02 00:00:00,2019-06-06 00:00:00,pending,install separate rear audio; prevent fuel pump shutoff; ,Rundofase,169.13,NULL,
8BPZY476GS8852305,2019-06-09 00:00:00,2019-06-10 00:00:00,completed,replace stabilizer bar; fix sunroof; ,Zencorporation,56.38,NULL,
8BPZY476GS8852305,2019-06-13 00:00:00,2019-06-17 00:00:00,pending,install curtain airbags; ,Zumgoity,169.13,NULL,
8C76DYYDYJU989849,2019-04-27 00:00:00,2019-04-28 00:00:00,completed,set up satellite radio; adjust climate control; ,Zumgoity,115.74,NULL,
8C76DYYDYJU989849,2019-05-12 00:00:00,2019-05-16 00:00:00,completed,adjust turn signals; install separate rear audio; ,Zumgoity,231.48,NULL,
8C76DYYDYJU989849,2019-05-18 00:00:00,2019-05-20 00:00:00,pending,fix rear defroster; fix rear defroster; ,Rundofase,173.61,NULL,
8C76DYYDYJU989849,2019-07-09 00:00:00,2019-07-14 00:00:00,in progress,fix rear hvac; reconfigure service reminder light; ,Zencorporation,289.35,NULL,
8C76DYYDYJU989849,2019-07-17 00:00:00,2019-07-25 00:00:00,in progress,replace timing belt tensioner; adjust traction control system; ,Rundofase,347.22,16V256000,
8C76DYYDYJU989849,2019-08-21 00:00:00,2019-08-25 00:00:00,completed,replace water pump; add knee airbags; ,Toughzap,289.35,NULL,
8C76DYYDYJU989849,2019-09-06 00:00:00,2019-09-25 00:00:00,completed,replace brake pedal spring; adjust traction control system; ,Zumgoity,694.44,NULL,
8FX05ZAH64B316440,2019-03-24 00:00:00,2019-04-04 00:00:00,in progress,install active pedestrian protection system; fix nvh dampening system; ,Zumgoity,316.87,NULL,
8FX05ZAH64B316440,2019-04-29 00:00:00,2019-05-01 00:00:00,completed,fix broken tow hooks; adjust running boards; ,Rundofase,45.27,15V871000,
8FX05ZAH64B316440,2019-05-08 00:00:00,2019-05-25 00:00:00,completed,repair cooled seats; attach spoiler; ,Newex,679.02,NULL,
8FX05ZAH64B316440,2019-05-27 00:00:00,2019-06-22 00:00:00,in progress,repair shiftable automatic transmission; reduce fuel consumption; ,Cancity,679.02,NULL,
8FX05ZAH64B316440,2019-07-18 00:00:00,2019-07-24 00:00:00,completed,adjust reverse tilt mirrors; adjust climate control; ,Zumgoity,45.27,NULL,
8FX05ZAH64B316440,2019-08-04 00:00:00,2019-08-25 00:00:00,completed,adjust accelerator pedal linkage; improve engine performance; ,Zumgoity,905.35,17V769000,
8FX05ZAH64B316440,2019-09-02 00:00:00,2019-09-24 00:00:00,pending,replace diverter valve; replace brake pedal spring; ,Rundofase,950.62,NULL,
8HJHTFE0FGU264640,2019-01-26 00:00:00,2019-02-01 00:00:00,completed,set up satellite radio; change suspension fluid; ,Zumgoity,132.53,NULL,
8HJHTFE0FGU264640,2019-04-03 00:00:00,2019-07-05 00:00:00,completed,fix steering damper; change pcv filter/pcv valve; ,Rundofase,473.32,NULL,
8HJHTFE0FGU264640,2019-07-22 00:00:00,2019-09-05 00:00:00,completed,correct abs; fix cylinder head bolts; ,Zumgoity,94.66,NULL,
A1NW00GFYRY803793,2019-04-17 00:00:00,2019-04-18 00:00:00,completed,configure audio remote control; change steering rack; ,Zencorporation,25.79,NULL,
A1NW00GFYRY803793,2019-04-21 00:00:00,2019-04-26 00:00:00,pending,change air conditioner refrigerant; replace catalytic converter; ,Rundofase,51.58,NULL,
A1NW00GFYRY803793,2019-06-03 00:00:00,2019-06-19 00:00:00,pending,install intelligent alternator; adjust traction control system; ,Rundofase,128.94,05V338000,
A1NW00GFYRY803793,2019-06-24 00:00:00,2019-07-13 00:00:00,completed,replace radiator core & ac condenser; change oil filter; ,Toughzap,12.89,NULL,
A1NW00GFYRY803793,2019-07-26 00:00:00,2019-08-19 00:00:00,completed,repair cooled seats; change steering rack; ,Zoomit,128.94,16V349000,
A1NW00GFYRY803793,2019-08-20 00:00:00,2019-08-25 00:00:00,completed,change oil filter; ,Zencorporation,25.79,NULL,
A1NW00GFYRY803793,2019-08-29 00:00:00,2019-09-18 00:00:00,completed,replace tail lights; change oil filter; ,Zencorporation,154.73,NULL,
A2YAQD6KDWM503404,2019-05-26 00:00:00,2019-05-27 00:00:00,in progress,adjust traction control system; reduce blind spot; ,Fasehatice,59.75,08V390000,
A2YAQD6KDWM503404,2019-07-27 00:00:00,2019-07-28 00:00:00,pending,replace steering column lock; reconfigure service reminder light; ,Zumgoity,59.75,NULL,
A2YAQD6KDWM503404,2019-08-10 00:00:00,2019-09-05 00:00:00,completed,reconfigure service reminder light; fix sunroof; ,Zumgoity,238.98,NULL,
ABCX0O07N6F519334,2019-04-11 00:00:00,2019-06-21 00:00:00,pending,replace brake pedal spring; ,Zoomit,2677,NULL,
ABCX0O07N6F519334,2019-07-24 00:00:00,2019-08-30 00:00:00,pending,change suspension fluid; reduce blind spot; ,Fasehatice,1408.95,NULL,
AFTWPBMU2TA534019,2019-04-09 00:00:00,2019-04-19 00:00:00,pending,adjust regenerative braking; adjust retractable mirrors; ,Zumgoity,75.43,NULL,
AFTWPBMU2TA534019,2019-05-02 00:00:00,2019-05-20 00:00:00,pending,configure universal remote control; replace catalytic converter; ,Zoomit,301.71,NULL,
AFTWPBMU2TA534019,2019-05-27 00:00:00,2019-06-02 00:00:00,completed,reduce fuel consumption; ,Toughzap,75.43,NULL,
AFTWPBMU2TA534019,2019-06-18 00:00:00,2019-06-24 00:00:00,in progress,fix ventilated seats; replace tail lights; ,Zencorporation,150.86,NULL,
AFTWPBMU2TA534019,2019-07-24 00:00:00,2019-09-26 00:00:00,in progress,upgrade navigation system; fix power activated release; ,Toughzap,452.57,NULL,
AI51SMWRVBH997689,2019-02-07 00:00:00,2019-02-21 00:00:00,completed,fix power activated release; change timing belt; ,Zoomit,142.41,NULL,
AI51SMWRVBH997689,2019-02-23 00:00:00,2019-02-28 00:00:00,completed,install vanity mirrors; set up gyro sensor; ,Zumgoity,35.6,NULL,
AI51SMWRVBH997689,2019-04-17 00:00:00,2019-04-20 00:00:00,in progress,adjust seat belts tension; ,Fasehatice,35.6,06E043000,
AKHFEO0D1D4893889,2019-01-17 00:00:00,2019-01-17 00:00:00,pending,fix a-pillar; ,Zumgoity,51.03,15V504000,
AKHFEO0D1D4893889,2019-01-19 00:00:00,2019-01-22 00:00:00,completed,fix rear defroster; reduce blind spot; ,Zumgoity,204.13,NULL,
AKHFEO0D1D4893889,2019-01-24 00:00:00,2019-01-26 00:00:00,in progress,replace ace filter; replace ace filter; ,Zoomit,153.1,06E064000,
AKHFEO0D1D4893889,2019-01-28 00:00:00,2019-01-29 00:00:00,completed,fix sunroof; adjust regenerative braking; ,Cancity,102.07,12V524000,
AKHFEO0D1D4893889,2019-01-30 00:00:00,2019-01-30 00:00:00,in progress,replace tail lights; change pcv filter/pcv valve; ,Toughzap,51.03,NULL,
AKHFEO0D1D4893889,2019-02-02 00:00:00,2019-02-03 00:00:00,completed,change wheel cylinders; replace brake pedal spring; ,Newex,51.03,NULL,
AN86IKI83LD618280,2019-07-08 00:00:00,2019-07-08 00:00:00,in progress,refurbish power steering; add heated windshield; ,Toughzap,37.77,NULL,
AN86IKI83LD618280,2019-07-24 00:00:00,2019-08-13 00:00:00,completed,fix deceleration system; set up satellite radio; ,Fasehatice,793.18,NULL,
AN86IKI83LD618280,2019-08-14 00:00:00,2019-08-16 00:00:00,pending,check drive axle boots; remove oversteer; ,Zencorporation,37.77,NULL,
AN86IKI83LD618280,2019-08-19 00:00:00,2019-08-30 00:00:00,in progress,replace serpentine belt; install intelligent alternator; ,Cancity,188.85,NULL,
AN86IKI83LD618280,2019-08-31 00:00:00,2019-09-02 00:00:00,in progress,install active pedestrian protection system; install intelligent alternator; ,Rundofase,113.31,NULL,
AN86IKI83LD618280,2019-09-03 00:00:00,2019-09-10 00:00:00,in progress,replace diverter valve; replace catalytic converter; ,Newex,264.39,NULL,
AN86IKI83LD618280,2019-09-17 00:00:00,2019-09-18 00:00:00,pending,fix steering damper; adjust low fuel warning indicator; ,Zumgoity,37.77,18V427000,
ASBUY3C1GYP443816,2019-06-29 00:00:00,2019-07-18 00:00:00,completed,fix air filter restriction indicator; fix steering damper; ,Cancity,2091.25,NULL,
ASBUY3C1GYP443816,2019-08-06 00:00:00,2019-08-20 00:00:00,pending,install intelligent alternator; change speaker configuration; ,Toughzap,448.13,NULL,
ATWA3W65LU2848535,2019-04-12 00:00:00,2019-04-18 00:00:00,in progress,fix external temperature display; change purge valve; ,Toughzap,238.95,NULL,
ATWA3W65LU2848535,2019-05-06 00:00:00,2019-05-14 00:00:00,pending,prevent fuel pump shutoff; ,Zencorporation,273.09,12V305000,
ATWA3W65LU2848535,2019-05-20 00:00:00,2019-05-24 00:00:00,in progress,replace serpentine belt; replace water pump; ,Newex,34.14,07E023000,
ATWA3W65LU2848535,2019-06-09 00:00:00,2019-07-11 00:00:00,completed,adjust regenerative braking; replace steering column lock; ,Newex,785.13,NULL,
ATWA3W65LU2848535,2019-07-26 00:00:00,2019-07-27 00:00:00,completed,change pcv filter/pcv valve; prevent fuel pump shutoff; ,Cancity,68.27,10V035000,
ATWA3W65LU2848535,2019-08-07 00:00:00,2019-08-09 00:00:00,completed,improve cylinder configuration; prevent fuel pump shutoff; ,Zencorporation,34.14,NULL,
ATWA3W65LU2848535,2019-08-18 00:00:00,2019-09-03 00:00:00,pending,fix sunroof; install roof spoiler; ,Toughzap,34.14,18V025000,
ATWA3W65LU2848535,2019-09-09 00:00:00,2019-09-21 00:00:00,completed,repair direct injection system; ,Toughzap,68.27,NULL,
AZCPHC4R1RY522608,2019-04-02 00:00:00,2019-05-02 00:00:00,pending,adjust adaptive cruise control; reduce blind spot; ,Zoomit,325.59,17V448000,
AZCPHC4R1RY522608,2019-07-03 00:00:00,2019-07-18 00:00:00,completed,replace fuel filter; fix cylinder head bolts; ,Zencorporation,54.27,NULL,
AZCPHC4R1RY522608,2019-08-01 00:00:00,2019-08-10 00:00:00,in progress,replace water pump; ,Fasehatice,189.93,NULL,
B2JQXKMCCJ3730138,2019-04-09 00:00:00,2019-04-11 00:00:00,completed,install active pedestrian protection system; ,Zumgoity,142.37,NULL,
B2JQXKMCCJ3730138,2019-04-16 00:00:00,2019-04-16 00:00:00,pending,install intelligent alternator; fix rear defroster; ,Zencorporation,47.46,19V188000,
B2JQXKMCCJ3730138,2019-04-18 00:00:00,2019-04-22 00:00:00,in progress,adjust hybrid performance; install dusk-sensing headlights; ,Fasehatice,94.91,NULL,
B3V53WEVPX7253102,2019-04-08 00:00:00,2019-04-18 00:00:00,completed,set up auto-delay headlights; ,Zencorporation,551.51,07E021000,
B3V53WEVPX7253102,2019-06-07 00:00:00,2019-06-17 00:00:00,in progress,change purge valve; remove oversteer; ,Newex,441.21,NULL,
B3V53WEVPX7253102,2019-07-08 00:00:00,2019-08-08 00:00:00,in progress,adjust low fuel warning indicator; replace water pump; ,Rundofase,882.42,NULL,
B3V53WEVPX7253102,2019-08-14 00:00:00,2019-08-24 00:00:00,completed,adjust accelerator pedal linkage; add knee airbags; ,Toughzap,496.36,NULL,
B3V53WEVPX7253102,2019-08-27 00:00:00,2019-09-03 00:00:00,in progress,reduce blind spot; change wheel cylinders; ,Zoomit,55.15,NULL,
B3V53WEVPX7253102,2019-09-06 00:00:00,2019-09-08 00:00:00,in progress,install curtain airbags; install separate rear audio; ,Fasehatice,110.3,NULL,
B3V53WEVPX7253102,2019-09-13 00:00:00,2019-09-22 00:00:00,pending,replace steering column lock; ,Fasehatice,110.3,16V595000,
BHVL8OFSZ0G423785,2019-05-26 00:00:00,2019-07-01 00:00:00,in progress,fix external temperature display; fix nvh dampening system; ,Zumgoity,92.02,18V268000,
BHVL8OFSZ0G423785,2019-07-23 00:00:00,2019-07-24 00:00:00,pending,install parking sensors; add knee airbags; ,Zoomit,26.29,NULL,
BHVL8OFSZ0G423785,2019-07-25 00:00:00,2019-08-06 00:00:00,completed,replace liftgate window; replace radiator core & ac condenser; ,Toughzap,78.87,15V439000,
BHVL8OFSZ0G423785,2019-08-09 00:00:00,2019-09-19 00:00:00,completed,correct abs; adjust low fuel warning indicator; ,Zencorporation,407.51,08E050000,
BNWE37HKK6A465562,2019-02-21 00:00:00,2019-02-23 00:00:00,completed,refurbish power steering; fix rear defroster; ,Cancity,47.43,NULL,
BNWE37HKK6A465562,2019-09-04 00:00:00,2019-09-14 00:00:00,pending,reduce blind spot; adjust turn signals; ,Cancity,79.05,NULL,
BX1OSN5TZYU191007,2019-04-20 00:00:00,2019-04-21 00:00:00,pending,change speaker configuration; ,Rundofase,45.61,NULL,
BX1OSN5TZYU191007,2019-04-22 00:00:00,2019-04-22 00:00:00,pending,fix ventilated seats; fix deceleration system; ,Fasehatice,22.81,NULL,
BX1OSN5TZYU191007,2019-04-24 00:00:00,2019-04-25 00:00:00,in progress,replace ace filter; change wheel cylinders; ,Zencorporation,22.81,01V362000,
BX1OSN5TZYU191007,2019-04-26 00:00:00,2019-04-26 00:00:00,in progress,reconfigure service reminder light; fix deceleration system; ,Cancity,22.81,NULL,
BX1OSN5TZYU191007,2019-04-27 00:00:00,2019-04-29 00:00:00,completed,upgrade navigation system; install optional equipment; ,Rundofase,68.42,02V111000,
BX1OSN5TZYU191007,2019-04-30 00:00:00,2019-05-01 00:00:00,pending,adjust retractable mirrors; ,Toughzap,45.61,NULL,
C0VHQRA5CIO857811,2019-05-28 00:00:00,2019-05-31 00:00:00,pending,install anti-theft alarm; replace steering column lock; ,Zumgoity,154.42,NULL,
C0VHQRA5CIO857811,2019-06-01 00:00:00,2019-06-02 00:00:00,pending,install turbocharger; change purge valve; ,Fasehatice,77.21,NULL,
C0VHQRA5CIO857811,2019-06-09 00:00:00,2019-06-09 00:00:00,pending,install smoked glass; adjust seat belts tension; ,Zoomit,38.61,NULL,
C0VHQRA5CIO857811,2019-06-11 00:00:00,2019-06-13 00:00:00,in progress,change air conditioner refrigerant; ,Cancity,115.82,NULL,
C0VHQRA5CIO857811,2019-06-16 00:00:00,2019-06-17 00:00:00,completed,install turbocharger; change oil filter; ,Newex,77.21,NULL,
C0VHQRA5CIO857811,2019-06-18 00:00:00,2019-06-19 00:00:00,in progress,remove oversteer; change speaker configuration; ,Rundofase,77.21,NULL,
C1OCSTQ1VP0823459,2019-01-16 00:00:00,2019-01-19 00:00:00,pending,repair direct injection system; install anti-theft alarm; ,Zoomit,118.73,NULL,
C1OCSTQ1VP0823459,2019-01-23 00:00:00,2019-01-25 00:00:00,in progress,prevent fuel pump shutoff; reduce blind spot; ,Toughzap,79.15,NULL,
C1OCSTQ1VP0823459,2019-01-28 00:00:00,2019-01-31 00:00:00,pending,reduce carbon footprint; fix rear hvac; ,Rundofase,79.15,NULL,
C1OCSTQ1VP0823459,2019-02-06 00:00:00,2019-02-06 00:00:00,pending,install optional equipment; change speaker configuration; ,Zencorporation,39.58,03V509000,
C4QIGI5R0PE739600,2019-06-23 00:00:00,2019-07-10 00:00:00,completed,upgrade navigation system; reduce carbon footprint; ,Fasehatice,129.78,NULL,
C4QIGI5R0PE739600,2019-07-11 00:00:00,2019-07-12 00:00:00,in progress,change coolant; fix broken tow hooks; ,Toughzap,21.63,NULL,
C4QIGI5R0PE739600,2019-09-04 00:00:00,2019-09-11 00:00:00,completed,prevent fuel pump shutoff; ,Fasehatice,64.89,NULL,
CHA3G8GE21K992177,2019-02-27 00:00:00,2019-04-04 00:00:00,pending,adjust climate control; repair cooled seats; ,Rundofase,2242.78,NULL,
CHA3G8GE21K992177,2019-04-22 00:00:00,2019-05-03 00:00:00,completed,fix ventilated seats; change timing belt; ,Zoomit,407.78,NULL,
CHA3G8GE21K992177,2019-05-21 00:00:00,2019-05-25 00:00:00,completed,attach spoiler; replace timing belt tensioner; ,Cancity,101.94,11V221000,
CHA3G8GE21K992177,2019-06-18 00:00:00,2019-07-02 00:00:00,pending,attach exterior camera; fix external temperature display; ,Toughzap,611.67,NULL,
CHA3G8GE21K992177,2019-07-18 00:00:00,2019-07-22 00:00:00,completed,refurbish power steering; change timing belt; ,Zencorporation,305.83,14V261000,
CHA3G8GE21K992177,2019-07-24 00:00:00,2019-08-10 00:00:00,in progress,replace crankcase ventilation filter; configure universal remote control; ,Zencorporation,1121.39,NULL,
CHA3G8GE21K992177,2019-08-15 00:00:00,2019-09-13 00:00:00,pending,fix rear defroster; reduce carbon footprint; ,Cancity,611.67,NULL,
CNXWEAHRICK569430,2019-03-25 00:00:00,2019-04-15 00:00:00,in progress,replace tail lights; ,Zoomit,735.02,NULL,
CQCKR5VZRWO844951,2019-03-19 00:00:00,2019-03-19 00:00:00,completed,change coolant; fix ventilated seats; ,Zoomit,62.05,NULL,
CQCKR5VZRWO844951,2019-03-21 00:00:00,2019-03-22 00:00:00,completed,adjust reverse tilt mirrors; improve engine performance; ,Toughzap,62.05,NULL,
CQCKR5VZRWO844951,2019-03-24 00:00:00,2019-03-25 00:00:00,pending,adjust block heater; install active pedestrian protection system; ,Cancity,124.09,NULL,
CQCKR5VZRWO844951,2019-03-28 00:00:00,2019-03-30 00:00:00,in progress,set up satellite radio; ,Fasehatice,124.09,NULL,
CQCKR5VZRWO844951,2019-03-31 00:00:00,2019-04-01 00:00:00,in progress,replace fuel filter; fix nvh dampening system; ,Zencorporation,124.09,NULL,
CQCKR5VZRWO844951,2019-04-03 00:00:00,2019-04-04 00:00:00,pending,fix ventilated seats; set up gyro sensor; ,Toughzap,62.05,18V248000,
E5WGL31NMNQ304399,2019-07-25 00:00:00,2019-08-21 00:00:00,in progress,replace stabilizer bar; ,Zumgoity,1042.34,NULL,
E5WGL31NMNQ304399,2019-08-27 00:00:00,2019-09-05 00:00:00,pending,install on-board diagnosis system; adjust traction control system; ,Newex,115.82,NULL,
E5WGL31NMNQ304399,2019-09-11 00:00:00,2019-09-19 00:00:00,in progress,replace fuel filter; ,Zumgoity,154.42,NULL,
E5WGL31NMNQ304399,2019-09-21 00:00:00,2019-09-25 00:00:00,completed,add knee airbags; refurbish power steering; ,Zoomit,77.21,NULL,
E64AFHYM7CM667399,2019-02-12 00:00:00,2019-02-17 00:00:00,pending,install separate rear audio; adjust low fuel warning indicator; ,Zumgoity,107.95,NULL,
E64AFHYM7CM667399,2019-02-22 00:00:00,2019-02-26 00:00:00,pending,replace crankcase ventilation filter; ,Newex,89.95,NULL,
E64AFHYM7CM667399,2019-02-28 00:00:00,2019-03-08 00:00:00,completed,fix cylinder head bolts; attach seat extension; ,Fasehatice,125.94,NULL,
E64AFHYM7CM667399,2019-03-18 00:00:00,2019-03-20 00:00:00,completed,fix sunroof; ,Rundofase,35.98,NULL,
E8MFMML51CM701156,2019-05-11 00:00:00,2019-05-13 00:00:00,pending,add knee airbags; reduce blind spot; ,Zencorporation,34.04,NULL,
E8MFMML51CM701156,2019-05-20 00:00:00,2019-05-30 00:00:00,in progress,fix sunroof; install on-board diagnosis system; ,Toughzap,68.08,NULL,
E8MFMML51CM701156,2019-05-31 00:00:00,2019-06-04 00:00:00,completed,change memory settings of the onboard computer; replace crankcase ventilation filter; ,Toughzap,68.08,NULL,
E8MFMML51CM701156,2019-06-08 00:00:00,2019-06-16 00:00:00,in progress,replace diverter valve; attach exterior camera; ,Cancity,119.15,16V302000,
E8MFMML51CM701156,2019-06-22 00:00:00,2019-06-25 00:00:00,pending,change wheel cylinders; refurbish power steering; ,Newex,34.04,NULL,
E8MFMML51CM701156,2019-06-29 00:00:00,2019-07-14 00:00:00,in progress,install active pedestrian protection system; install separate rear audio; ,Fasehatice,204.25,16V303000,
E8MFMML51CM701156,2019-08-08 00:00:00,2019-09-11 00:00:00,completed,replace steering column lock; fix steering damper; ,Zoomit,374.46,NULL,
EAJW0OF78HV386515,2019-01-14 00:00:00,2019-01-15 00:00:00,completed,adjust turn signals; change memory settings of the onboard computer; ,Rundofase,32.57,NULL,
EAJW0OF78HV386515,2019-01-17 00:00:00,2019-01-19 00:00:00,completed,repair seatbelt force limiters; ,Fasehatice,16.29,NULL,
EAJW0OF78HV386515,2019-01-20 00:00:00,2019-01-20 00:00:00,in progress,install dusk-sensing headlights; install on-board diagnosis system; ,Toughzap,16.29,09V428000,
EAJW0OF78HV386515,2019-01-24 00:00:00,2019-01-28 00:00:00,in progress,change speaker configuration; change timing belt; ,Zoomit,81.43,06V205000,
EBZZN84J0L1163524,2019-03-04 00:00:00,2019-03-28 00:00:00,completed,replace water pump; ,Zumgoity,1287.98,NULL,
EBZZN84J0L1163524,2019-04-27 00:00:00,2019-04-29 00:00:00,pending,set up gyro sensor; adjust block heater; ,Rundofase,61.33,00V198000,
EBZZN84J0L1163524,2019-05-02 00:00:00,2019-05-13 00:00:00,pending,repair seatbelt force limiters; replace crankcase ventilation filter; ,Zumgoity,245.33,NULL,
EBZZN84J0L1163524,2019-05-14 00:00:00,2019-07-17 00:00:00,pending,configure universal remote control; upgrade navigation system; ,Toughzap,3434.63,NULL,
EBZZN84J0L1163524,2019-07-25 00:00:00,2019-08-19 00:00:00,in progress,improve engine performance; configure audio remote control; ,Fasehatice,1226.65,19V293000,
EBZZN84J0L1163524,2019-08-28 00:00:00,2019-08-30 00:00:00,in progress,repair cooled seats; adjust seat belts tension; ,Rundofase,184,NULL,
EBZZN84J0L1163524,2019-09-09 00:00:00,2019-09-11 00:00:00,in progress,refurbish power steering; fix sunroof; ,Newex,122.67,18V332000,
EBZZN84J0L1163524,2019-09-22 00:00:00,2019-09-24 00:00:00,completed,reduce fuel consumption; replace diverter valve; ,Zoomit,61.33,NULL,
EFUWNBMO3TM316916,2019-02-15 00:00:00,2019-02-16 00:00:00,pending,change purge valve; configure audio remote control; ,Cancity,41.7,11V510000,
EFUWNBMO3TM316916,2019-02-18 00:00:00,2019-02-18 00:00:00,in progress,install dusk-sensing headlights; install active pedestrian protection system; ,Newex,20.85,NULL,
EFUWNBMO3TM316916,2019-02-23 00:00:00,2019-02-25 00:00:00,completed,install on-board diagnosis system; ,Fasehatice,20.85,NULL,
EFUWNBMO3TM316916,2019-02-26 00:00:00,2019-02-26 00:00:00,completed,adjust ignition timing; install active pedestrian protection system; ,Fasehatice,20.85,NULL,
EMARJQJLUEI221810,2019-01-25 00:00:00,2019-02-01 00:00:00,completed,attach spoiler; fix a-pillar; ,Zumgoity,154.42,NULL,
EMARJQJLUEI221810,2019-02-07 00:00:00,2019-02-18 00:00:00,completed,fix nvh dampening system; ,Toughzap,386.05,NULL,
ENHQ8WS125F354364,2019-04-21 00:00:00,2019-04-26 00:00:00,completed,replace serpentine belt; replace steering column lock; ,Newex,137.54,NULL,
